id,type,name,text,cost,race,caster,attack,hp,set
AAB020,キャラ,古明地 さとり,起動 自ターンレスト：自分の捨て札から5コスト以下のキャラを1枚選択するそれをこのカードの下に表向き置く、その後表向きに置いたカードに登場時効果がある場合はそれを発動出来る。常時：このカードの下に表向きで存在するキャラカードの効果とキーワード能力を自身は得る。,5,妖怪,,4,6,第一弾
AAB021,キャラ,藤原 妹紅,強制 破壊時：自分は4ダメージ受けるその後捨て札に存在するこのカードをレスト状態で場に登場する。,5,人間,,5,5,第一弾
AAB022,キャラ,八雲 藍,守護 登場時：手札を全て捨てるその後自身は永続に+X/+X修正するXはこの効果で捨てた手札の枚数とする。その後デッキからカードを4枚引く。起動 自ターンレスト：自分の場の『橙』の名称を持つキャラ1体と自身を捨て札に送るその後手札又はデッキの中から『八雲 紫』の名称を持つキャラ1枚を登場する、その後登場したキャラを永続に+2/+2修正する。,6,妖獣,,5,5,第一弾
AAB023,キャラ,霊烏路空,登場時：相手の場のキャラ1体に6ダメージと相手プレイヤーに2ダメージ与える。起動 自ターンレスト：相手の場のキャラ1体に6ダメージと相手プレイヤーに2ダメージ与える。,7,妖獣,,8,6,第一弾
AAB024,キャラ,西行寺幽々子,接死 登場時：接死と速攻を持つ亡霊トークン（キャラ種族幽霊の1/1）を3体登場させる、登場した亡霊トークンはターン終了時に破壊される。,7,幽霊,,3,6,第一弾
AAB025,キャラ,八雲 紫,速攻 登場時：相手の場の弾幕カード以外のカード2枚を選択しゲームから除外する。,8,妖怪,,8,8,第一弾
AAB026,スペル,霊符「夢想封印」,インスタント 相手の場に存在するキャラ1体に対して自分の場に存在する通常弾の枚数分のダメージを与える。,1,,博麗 霊夢,,,第一弾
AAB027,スペル,式弾「ユーニラタルコンタクト」,インスタント 相手プレイヤーが手札から発動した2コスト以下のスペル属性のカードの発動を無効にしてそれを捨て札に送る。,1,,八雲 藍,,,第一弾
AAB028,スペル,水形太極拳,インスタント このターン相手の弾幕属性を持つユニットはダメージを与えることは出来ない。,1,,紅 美鈴,,,第一弾
AAB029,スペル,恋符「マスタースパーク」,相手の場に存在するキャラ1体に5ダメージを与える。,2,,霧雨 魔理沙,,,第一弾
AAB030,スペル,神徳「五穀豊穣ライスシャワー」,インスタント ライフを4点回復その後デッキからカードを1枚引く。,2,,東風谷 早苗,,,第一弾
AAB031,スペル,旋符「紅葉扇風」,場に存在するカードの中から1枚を選ぶそれをそのカードの元の持ち主の手札に戻すまた自分の場に『射命丸文』の名称を持つキャラが存在する場合戻す枚数を1枚から2枚に変更できる。,2,,射命丸 文,,,第一弾
AAB032,スペル,幻波「赤眼催眠（マインドブローイング）」,インスタント このターンのあいだ相手プレイヤーのユニット全ては指定攻撃を得る。このターン相手ユニットの攻撃対象選択は相手プレイヤーでは無く自分が選択する、また戦闘中にこのカードを発動していた場合その戦闘の攻撃対象も自分が選択する。,2,,鈴仙・優曇華院・イナバ,,,第一弾
AAB033,スペル,操符「乙女文楽」,エンチャント 起動 自ターンレスト：自分のデッキトップから1枚引きそれを裏向きで場に出すそれは人形（キャラ種族人形1/1）として扱う。,2,,アリス・マーガトロイド,,,第一弾
AAB034,スペル,要石「天空の霊石」,エンチャント 発動時：お互いの場のキャラ全てに2ダメージを与える。常時：このカードを（キャラ種族無し0/2）として扱うこのカードは効果ダメージを受けない。,2,,比那名居 天子,,,第一弾
AAB035,スペル,妄執剣「修羅の血」,自分の捨て札に存在するこのターン破壊されたキャラ1体を自分の場に登場させるそのキャラは速攻を得る。,2,,魂魄 妖夢,,,第一弾
AAB036,スペル,禁忌「フォービドゥンフルーツ」,エンチャント 起動 自ターンレスト：自分の場のカードを1枚破壊する破壊できた場合自分は2点回復する。常時：種族悪魔のユニットは+1/+0修正する。,2,,フランドール・スカーレット,,,第一弾
AAB037,スペル,紅蝙蝠「ヴァンピリッシュナイト」,エンチャント 起動 自メインレスト：自分の場にトークン『コウモリ（キャラ種族悪魔0/1）』を登場する。起動 自ターン：自分の場の『コウモリ』を破壊することで相手のキャラ1体に1ダメージを与える。常時：自分の場の弾幕属性とトークン以外の表向きカードが破壊された時に自分の場に『コウモリ（キャラ種族悪魔0/1）』を登場させる。,3,,レミリア・スカーレット,,,第一弾
AAB038,スペル,火符「アグニシャイン」,インスタント エンチャント 常時：このカードを『キャラ種族無し4/3』として扱う。自ターン終了時：自分の場に『パチュリー』の名称を持つキャラが存在しない場合このカードを破壊して捨て札に送る。,3,,パチュリー・ノーレッジ,,,第一弾
AAB039,スペル,凍符「パーフェクトフリーズ」,インスタント 相手の場のキャラ2体まで選びそれをレストしていなければレストするその後そのキャラは次の相手ターン終了時までアクティブにならずキーワード能力を失う。,3,,チルノ,,,第一弾
AAB040,スペル,水符「ウォーターカーペット」,相手の場に存在するキャラに合計が7ダメージになるようにダメージを割り振る。,3,,河城 にとり,,,第一弾
AAB041,スペル,罔両「八雲紫の神隠し」,インスタント このターンに次に自分が受けるダメージを自分の代わりに相手プレイヤーが受ける。,3,,八雲 紫,,,第一弾
AAB042,スペル,幻世「ザ・ワールド」,インスタント 自分の場のユニット全ては速攻を得るその後自分の場の全てのカードをアクティブにする、その後弾幕置き場にあるカード1枚を場に登場する。,4,,十六夜 咲夜,,,第一弾
AAB043,スペル,亡舞「生者必滅の理 -死蝶-」,相手の場に存在するキャラ全てを破壊する。,5,,西行寺 幽々子,,,第一弾
AAB044,行動,幻想郷縁起,自分の場に存在するキャラと同名の術者のスペルをデッキから1枚手札に加える。,0,,,,,第一弾
AAB045,行動,香霖堂,自分のデッキ上から5枚公開するその後追加でXコスト支払うことが出来る（Xは0〜5まで）その後公開しているカードからX枚を手札に加えるその後手札に加えなかった公開したカードは捨て札に送る。,1,,,,,第一弾
AAB046,行動,逃走,インスタント 自分の場のトークン以外のキャラ1枚を選択しそのキャラを手札に戻す。,1,,,,,第一弾
AAB047,行動,隊列,種族を1つ選択する自分の場の選択した種族と同じユニットを好きな枚数捨て札にすることが出来る、それをXとしてその後自分の場のトークン以外の選択した種族のユニット1体を選択するそれは相手ターン終了時まで+X/+X修正する。,1,,,,,第一弾
AAB048,行動,妖精大戦争,エンチャント 自ターン常時：自分の場の種族妖精のユニット全ては+1/+1修正する。,3,,,,,第一弾
AAB049,弾幕,陰陽玉,起動 自ターン①：自身を捨てるその後自分の場のユニット1体を選択するそのユニットはこのターン次に攻撃する時に守護を持たない相手ユニットにブロックされない。,,,博麗 霊夢,0,1,第一弾
AAB050,弾幕,ミニ八卦炉,起動 自ターン：自分の場に存在する『ミニ八卦郎』2枚と自分の手札2枚を捨てるその後自分の場のアクティブ状態キャラ1体をレストする、レストしたキャラの攻撃力分のダメージを相手の場のキャラ全てに与える。,,,霧雨 魔理沙,0,1,第一弾
AAB051,弾幕,賢者の石（火）,起動 常時：この効果はインスタントタイミングで使用出来る。アクティブ状態の自身を弾幕デッキに戻すことで相手の場のユニット1体に3ダメージを与える。,,,パチュリー・ノーレッジ,1,1,第一弾
AAB052,弾幕,要石,常時：このカードは場に存在する限り他のカードの効果を受けない。,,,比那名居 天子,0,3,第一弾
AAB053,弾幕,楼観剣,装備 起動 常時：自分の場に存在するキャラ1体に装備する 装備している間は自身は弾幕属性とこの効果を失う。装備効果：+1/+1修正する、装備したターン以外の場合は+2/+1修正になる。種族が幽霊のキャラが装備している時にそのキャラが破壊された時このカードは装備を外れてアクティブ状態で自分の場に残る。,,,魂魄 妖夢,0,1,第一弾
AAB054,弾幕,上海人形,常時：このカードはコストの支払いには使用することが出来ない。,,人形,,2,3,第一弾
AAS001,キャラ,博麗 霊夢,守護 登場時：弾幕置き場から通常弾を2枚まで場に出すことが出来る。常時：自身の場の通常弾に守護を付与する。,4,巫女,,2,4,スターター
AAS002,キャラ,霧雨 魔理沙,先制攻撃 速攻 登場時：相手のユニット1体をレストする,4,魔術師,,6,3,スターター
AAS003,キャラ,東風谷 早苗,自ターン常時：他の自身全てのユニットは+1/+0修正する。,3,巫女,,3,4,スターター
AAS004,キャラ,チルノ,登場時：レスト状態の相手ユニットを1体選び次の相手ターン終了時までそれはアクティブにならずキーワード能力を失う。,2,妖精,,2,2,スターター
AAS005,キャラ,鈴仙・優曇華院・イナバ,常時：自身と戦闘を行う相手ユニット全てを-2/-0修正する。（ターン終了時まで）,3,玉兎,,4,3,スターター
AAS006,スペル,宝符「陰陽宝玉」,インスタント ターン終了時まで自身のユニット1体を+2/+3修正し守護を得る。,2,,博麗 霊夢,,,スターター
AAS007,スペル,儀符「オーレリーズサン」,エンチャント 常時：自分の場の通常弾全ては+1/+0修正する。,3,,霧雨 魔理沙,,,スターター
AAS008,キャラ,紅 美鈴,守護,3,妖怪,,2,5,スターター
AAS009,キャラ,パチュリー・ノーレッジ,登場時：1枚ドローするその後追加で1コスト支払う事でさらに1枚ドローできる。,3,魔術師,,3,4,スターター
AAS010,キャラ,十六夜 咲夜,速攻 攻撃時：弾幕置き場にあるカード1枚を場に出す。,3,人間,,3,3,スターター
AAS011,キャラ,レミリア・スカーレット,登場時：手札を1枚捨てる事で、デッキから「紅美鈴」「パチュリー」「咲夜」「フラン」を名称に含むキャラを手札に加えることができる。手札に加えたカードが3コスト以下の場合、コスト0でそのカードを自分の場に登場させることができる。,5,悪魔,,6,6,スターター
AAS012,キャラ,フランドール・スカーレット,登場時：弾幕以外のお互いの場の3コスト以下のカードを全て破壊する。その後トークン以外の破壊したカードの枚数分自分のライフを回復する。（コスト無しは0コストとして扱う）,7,悪魔,,7,5,スターター
AAS013,スペル,土金符「エメラルドメガリス」,インスタント エンチャント 常時：このカードを『キャラ種族無し2/6』として扱いこのキャラはブロック時相手キャラにダメージを与えることが出来ない。自ターン終了時：自分の場に『パチュリー』の名称を持つキャラが存在しない場合このカードを破壊して捨て札に送る。,2,,パチュリー・ノーレッジ,,,スターター
AAS014,スペル,「紅色の幻想郷」,インスタント 自分の場のユニット1枚を選び+3/+3修正（永続）,4,,レミリア・スカーレット,,,スターター
AAS015,スペル,闇符「ディマーケイション」,インスタント 場に存在するユニット1体をターン終了時まで+0/+3修正する。,1,,ルーミア,,,スターター
AAS016,キャラ,大妖精,速攻 登場時：デッキから1枚引きその後手札を1枚捨てる,2,妖精,,2,2,スターター
AAS017,スペル,霙符「ヘイルストーム」,インスタント プレイヤー又は場のユニット1体を選び2ダメージを与える。,1,,チルノ,,,スターター
AAS018,行動,断罪裁判,インスタント 相手プレイヤーの手札から発動したカード1つを無効にし捨て札に送る。,3,,,,,スターター
AAS019,スペル,熱符「ブレイクプロミネンス」,相手の場のカード1枚を破壊する。,3,,霊烏路 空,,,スターター
AAS020,スペル,罔両「ストレートとカーブの夢郷」,インスタント 自分の場のユニット全てはターン終了時まで+1/+1修正する。,2,,八雲 紫,,,スターター
AAS011PR01,キャラ,レミリア・スカーレット,登場時：手札を1枚捨てる事で、デッキから「紅美鈴」「パチュリー」「咲夜」「フラン」を名称に含むキャラを手札に加えることができる。手札に加えたカードが3コスト以下の場合、コスト0でそのカードを自分の場に登場させることができる。,5,悪魔,,6,6,プロモ
AAD001,弾幕,通常弾,速攻 ルール：このカードは何枚でも弾幕デッキに入れることが出来る。,,,博麗 霊夢,1,1,スターター
AAD002,弾幕,通常弾,速攻 ルール：このカードは何枚でも弾幕デッキに入れることが出来る。,,,霧雨 魔理沙,1,1,スターター
AAD003,弾幕,通常弾,速攻 ルール：このカードは何枚でも弾幕デッキに入れることが出来る。,,,東風谷 早苗,1,1,スターター
AAD004,弾幕,通常弾,速攻 ルール：このカードは何枚でも弾幕デッキに入れることが出来る。,,,チルノ,1,1,スターター
AAD005,弾幕,通常弾,速攻 ルール：このカードは何枚でも弾幕デッキに入れることが出来る。,,,鈴仙・優曇華院・イナバ,1,1,スターター
AAD006,弾幕,通常弾,速攻 ルール：このカードは何枚でも弾幕デッキに入れることが出来る。,,,紅 美鈴,1,1,スターター
AAD007,弾幕,通常弾,速攻 ルール：このカードは何枚でも弾幕デッキに入れることが出来る。,,,パチュリー・ノーレッジ,1,1,スターター
AAD008,弾幕,通常弾,速攻 ルール：このカードは何枚でも弾幕デッキに入れることが出来る。,,,十六夜 咲夜,1,1,スターター
AAD009,弾幕,通常弾,速攻 ルール：このカードは何枚でも弾幕デッキに入れることが出来る。,,,レミリア・スカーレット,1,1,スターター
AAD010,弾幕,通常弾,速攻 ルール：このカードは何枚でも弾幕デッキに入れることが出来る。,,,フランドール・スカーレット,1,1,スターター
AAD011,弾幕,霊の御札,指定攻撃 起動 自ターンに1回のみ①：このカードはターン終了時まで速攻を得て+2/+0修整する。,,,博麗 霊夢,1,1,スターター
AAD012,弾幕,恋の御札,起動 自メイン：自身を弾幕置き場に送ることで自分の弾幕置き場から『通常弾』の名称を持つカードを1枚場に出すその後自分の場に存在する『通常弾』の名称を持つユニットを2体まで選びそれをターン終了時まで+1/+0修正する。,,,霧雨 魔理沙,1,1,スターター
AAD013,弾幕,賢者の石（水）,起動 自メイン：自分の場に存在する『賢者の石（水）』を2枚捨てることでデッキからカード1枚を引く。,,,パチュリー・ノーレッジ,0,1,スターター
AAD014,弾幕,銀のナイフ,登場時：カード効果で弾幕置き場から場に出た時相手キャラ1体に1ダメージを与えるその後このカードに速攻を得る。,,,十六夜 咲夜,2,1,スターター
AAD015PR01,弾幕,通常弾,速攻 ルール：このカードは何枚でも弾幕デッキに入れることが出来る。,,,古明地 さとり,1,1,プロモ
ABB001,キャラ,リグル・ナイトバグ,隠蔽 常時：相手ターン終了時に相手プレイヤーの捨て札に存在するカードを1枚選択して除外する、その後自分はライフを1回復する。,1,蟲,,2,2,第二弾
ABB002,キャラ,ミスティア・ローレライ,起動レスト：相手ターン終了時まで相手プレイヤーのコントロールするキャラの持つ指定攻撃を失う。常時：自身がレスト状態の時、自分は相手キャラからの戦闘で発生するプレイヤーへのダメージを-1する。,2,妖怪,,3,3,第二弾
ABB003,キャラ,上白沢 慧音,守護 登場時：自分は手札を1枚捨てる、その後自分のデッキから種族が『人間』又は『巫女』のキャラを1枚手札に加える 常時：自分の場に『藤原 妹紅』の名称を持つキャラが存在する場合このキャラを+2/+2修正する。,2,人間,,1,4,第二弾
ABB004,キャラ,因幡 てゐ,起動レスト：コインを1回投げそれがオモテなら相手プレイヤーに4ダメージを与える、ウラなら自分はデッキから1枚引く。,3,妖獣,,2,4,第二弾
ABB005,キャラ,八意 永琳,指定攻撃 常時：自分の場に『蓬莱山輝夜』の名称を持つキャラが存在しない場合このキャラは攻撃とブロックすることが出来ない。起動レスト：自分はライフを4回復する。,5,月の民,,6,5,第二弾
ABB006,キャラ,蓬莱山 輝夜,起動：自分の場に『八意永琳』の名称を持つキャラが存在しない時のみ使用できる。手札を2枚捨てる、その後デッキから『八意永琳』の名称を持つキャラを1枚選び自分の場に登場させる。常時：自分の場に存在する『永琳』『鈴仙』『てゐ』のいずれかの名称を持つキャラは守護を得る。,6,月の民,,4,7,第二弾
ABB007,スペル,難題「仏の御石の鉢-砕けぬ意思-」,装備 自分の場に存在するキャラ1体にこのカードを装備する。装備：+1/+2修正して、守護を得る。常時：装備しているキャラが『蓬莱山 輝夜』の名称を持つ場合、自分の場のキャラ全ては効果で破壊されない。,2,,蓬莱山 輝夜,,,第二弾
ABB008,スペル,不滅「フェニックスの尾」,ルール：このカードの発動時自分は手札を1枚捨てる。自分の場の弾幕カード全てを捨てる、捨てたカードの合計以下のコストになるように自分の捨て札からキャラカードを好きな枚数選択して、自分の場に配置する。,0,,藤原 妹紅,,,第二弾
ABB009,キャラ,小野塚 小町,守護 捨て札起動：『神力』カウンターを3個取り除くことで捨て札に存在するこのカードを自分の場に登場させる。登場時：自身に『神力』カウンターを1個置く。強制常時：自身がダメージを受ける時自身に置かれている『神力』カウンターを1個取り除く、取り除いた場合自身はダメージを受けない。,3,神,,4,2,第二弾
ABB010,キャラ,四季映姫・ヤマザナドゥ,常時：自ターン終了時に自身に『神力』カウンターを2個置く。インスタント起動：自分は手札を1枚捨てて自身に置かれている『神力』カウンターをX個取り除くことで、相手が手札から発動したXコスト以下のスペルの発動を無効にして捨て札に送る。,4,神,,3,5,第二弾
ABB011,キャラ,依神 女苑,守護 登場時：相手は手札からキャラカードを1枚選び捨て札に送る、もし手札にキャラカードが存在しない場合手札を全て公開する、その後自身は相手が捨て札に送ったキャラカードの攻撃の数値をXとして『神力』カウンターをX個置く。常時：自身に置かれている『神力』カウンターの合計をXとして自身を+X/+X修正する。,3,神,,1,1,第二弾
ABB012,キャラ,依神 紫苑,登場時：自身に『神力』カウンターを1個置く。常時：お互いのプレイヤーは手札から発動するスペルのコストがXコスト増える、Xは自身に置かれている『神力』カウンターの合計。,4,神,,6,5,第二弾
ABB013,キャラ,キスメ,登場時：相手の場のキャラ1体に2ダメージを与える。,1,妖怪,,1,2,第二弾
ABB014,キャラ,水橋 パルスィ,常時：自分の手札枚数が相手プレイヤーの手札枚数以下の場合自身を+2/+2修正して速攻を得る。常時：自分の場に存在するユニットの合計が相手の場のユニットの合計以下の場合自身を+1/+1修正して守護を得る。,3,妖怪,,3,2,第二弾
ABB015,キャラ,星熊 勇儀,ターン1起動①：自身を相手ターン終了時まで+2/+2修正して速攻を得る。常時：自分の場に存在する種族が『鬼』のキャラ全ては+1/+1修正する。,4,鬼,,5,4,第二弾
ABB016,スペル,罠符「キャプチャーウェブ」,エンチャント 常時：ターン中初めて相手の場にキャラを登場する時相手プレイヤーは2ライフ失う又は登場するキャラをレスト状態で登場する。,2,,黒谷 ヤマメ,,,第二弾
ABB017,行動,不運,相手の場に存在するキャラ1体を破壊する、その後相手プレイヤーは手札を1枚選んで捨てる。,4,,,,,第二弾
ABB018,キャラ,秋 静葉,ターン1起動：自身の『神力』カウンターをX個取り除く、手札から種族が『神』のキャラのコストをX軽減して自分の場に登場する。起動レスト：自身と自身以外の自分の場のキャラ1体までに『神力』カウンターを1個ずつ置く。,2,神,,2,2,第二弾
ABB019,キャラ,秋 穣子,ターン1起動：自分の場に存在する『神力』カウンターを合計3個取り除くことで、デッキから1枚引く。起動レスト：自分の場に存在する種族が『神』と『巫女』のキャラ全てに『神力』カウンターを1個置く。,3,神,,3,3,第二弾
ABB020,キャラ,河城 にとり,隠蔽 自ターン常時：ドローフェイズ時にデッキから引く枚数を2枚に変更する。,3,妖怪,,3,3,第二弾
ABB021,キャラ,東風谷 早苗,守護 常時：カードの効果でこのカードを手札から公開した時、自分の場のキャラ1体に『神力』カウンターを1個置くことが出来る。起動レスト：数字を1つ宣言する、その後自分のデッキをシャッフルして引いて公開する、公開したカードのコストが宣言した数値と同じ場合、引いたカードがこのタイミングで使用可能なカードの場合0コストで使用できる。,4,巫女,,3,5,第二弾
ABB022,キャラ,八坂 神奈子,登場耐性（1） 登場時：追加でX支払う（Xは0〜3まで）その後自身に『神力』カウンターをX+1個置く。常時：自身が装備しているカードの枚数と自身に置かれている『神力』カウンターの合計をXとして自身を+X/+X修正する。インスタント起動：追加で1コスト又は自身に置かれている『神力』カウンターを1個取り除く、その後自身に置かれている「神力」カウンターを1個取り除くことで相手の場のキャラ1体に3ダメージ与える。,4,神,,4,4,第二弾
ABB023,キャラ,洩矢 諏訪子,登場耐性（1） ターン1起動：種族が『巫女』『人間』のキャラを手札から好きな枚数公開して公開した枚数をXとする、その後●に記載の効果をX+1回繰り返す。●自分の場のキャラ1体に『神力』カウンターを1個置く、その後相手の場のキャラ1体に永続的に-1/-1修正を行う。常時：自ターン終了時に自分の場に存在する『神力』カウンターの合計数をXとして相手プレイヤーにXダメージを与える。,7,神,,6,6,第二弾
ABB024,スペル,神祭「エクスパンデッド・オンバシラ」,インスタント 自分の場に『八坂 神奈子』の名称を持つキャラ1体に『神力』カウンターを1個置くことが出来る。自分の場に存在する『神力』カウンターを好きな数取り除くことで、相手の場に存在するキャラ1体に取り除いた数×3のダメージを与える。,1,,八坂 神奈子,,,第二弾
ABB025,スペル,蛙休「オールウェイズ冬眠できます」,インスタント 常時：自分の場に『洩矢諏訪子』の名称を持つキャラが存在する場合1コストで発動できる。自分の場に存在するキャラ1体を選ぶ、それはこのターン終了時までキーワード能力を全て失い、全てのダメージを受けず、効果で破壊されない、そのキャラがアクティブ状態ならレスト状態にする。,3,,洩矢 諏訪子,,,第二弾
ABB026,キャラ,博麗 霊夢,守護 指定攻撃 登場時：デッキから術者が『博麗 霊夢』のスペルを1枚公開して手札に加える。,3,巫女,,4,4,第二弾
ABB027,キャラ,十六夜 咲夜,速攻 攻撃時：自分の場に存在する弾幕カードを2枚選択してそれを弾幕置き場に置く、その後弾幕置き場から2枚選択して自分の場に出す。,3,人間,,4,2,第二弾
ABB028,キャラ,レミリア・スカーレット,登場耐性（1） 速攻 先制攻撃 捨て札起動：識別番号が同じカードのこの効果は1ターンに1回のみ使用出来る。自分の場に存在する名称が『コウモリ』のユニットを4体破壊する、その後捨て札に存在するこのカードを自分の場に登場する。インスタント起動：自身を捨て札に送りその後自分の場にトークン『コウモリ（キャラ種族悪魔0/1）』を3体レスト状態で登場する。,7,悪魔,,6,5,第二弾
ABB029,キャラ,杖刀偶 磨弓,先制攻撃 登場時：デッキの上から5枚を見てその中から1枚を手札に加える、残りをデッキの下に好きな順番で置く、その後手札から1枚を捨てる。相手ターン常時：自分の場の種族『人形』のユニット全てを+0/+1修正。,3,人形,,2,3,第二弾
ABB030,キャラ,埴安神 桂姫,登場時：デッキ又は捨て札から『杖刀偶磨弓』の名称を持つキャラを1枚選び自分の場に登場することができる。ターン1起動：自分の場にトークン『埴輪（キャラ種族人形2/2）』を登場する。,6,神,,4,4,第二弾
ABB031,キャラ,姫虫 百々世,登場耐性（1） 常時：自ターン終了時に相手の場に存在するキャラ全てと相手プレイヤーに3ダメージを与える。起動レスト：手札を2枚捨てる、その後相手の場に存在するキャラ全てと相手プレイヤーに3ダメージを与える。,8,蟲,,5,6,第二弾
ABB032,スペル,魔符『ミルキーウェイ』,相手プレイヤーの場に存在する全てのエンチャントを持つカードを破壊する、その後自分の場に『霧雨 魔理沙』の名称を持つキャラが存在する場合相手の場に存在するキャラ1体を破壊出来る。,4,,霧雨 魔理沙,,,第二弾
ABB033,スペル,埴輪「剣士埴輪」,自分の場にトークン『埴輪（キャラ種族人形2/2）』を1体登場する、その後自分の場に存在する種族が人形のユニット全てにターン終了時まで速攻と先制攻撃を得る。,2,,杖刀偶 磨弓,,,第二弾
ABB034,スペル,方形「スクエアクリーチャー」,エンチャント 発動時：自分の場にトークン『埴輪（キャラ種族人形2/2）』1体登場する。起動レスト：自分の場にトークン『埴輪』を1体登場する。ターン1インスタント起動②：自分の場にトークン『埴輪』を1体登場する、その後ターン終了時まで自分の場に存在する種族が『人形』のユニット全て+0/+2修正する。,4,,埴安神 桂姫,,,第二弾
ABD001,弾幕,通常弾（低速）,速攻 ルール：『通常弾（低速）』この名称のカードは識別番号が異なる場合でも弾幕デッキに2枚のみ入れることが出来る。ルール：このカードは『通常弾』としても扱う。常時：自分の場と弾幕置き場の名称が『通常弾』のカードの合計が6枚以上の場合自身は+2/+0修正する。,,,霧雨 魔理沙,0,1,第二弾
ABD002,弾幕,天狗団扇,起動：自身を捨て札に送り、自分の場に『射命丸 文』の名称を持つキャラが存在しない場合追加で1コスト支払う、その後自分の場に存在するキャラを1体を選びターン終了時まで速攻を得る。,,,射命丸 文,0,1,第二弾
